Anno;Mese;Zona;Incidenti;Morti;Feriti
2010;8;3;72;0;113
2010;8;4;49;0;70
2010;8;5;57;2;89
2010;8;6;47;0;65
2010;8;7;53;1;80
2010;8;8;79;0;99
2010;8;9;74;0;108
2010;9;;51;0;69
2010;9;1;121;0;154
2010;9;2;73;0;100
2010;9;3;114;0;145
2010;9;4;100;0;138
2010;9;5;106;0;135
2010;9;6;65;2;84
2010;9;7;106;0;134
2010;9;8;136;1;181
2010;9;9;150;2;207
2010;10;;46;0;64
2010;10;1;142;1;182
2010;10;2;76;0;96
2010;10;3;131;0;188
2010;10;4;130;0;192
2010;10;5;118;0;162
2010;10;6;76;0;99
2010;10;7;115;1;152
2010;10;8;131;0;164
2010;10;9;181;0;252
2010;11;;52;1;76
2010;11;1;166;0;201
2010;11;2;71;0;95
2010;11;3;124;0;157
2010;11;4;92;0;126
2010;11;5;112;0;162
2010;11;6;90;0;123
2010;11;7;107;0;141
2010;11;8;135;1;170
2010;11;9;126;1;178
2010;12;;46;0;69
2010;12;1;103;0;133
2010;12;2;48;0;61
2010;12;3;119;0;158
2010;12;4;90;0;132
2010;12;5;80;0;117
2010;12;6;81;0;102
2010;12;7;89;0;120
2010;12;8;119;2;148
2010;12;9;117;2;156
2011;1;;34;0;45
2011;1;1;82;1;110
2011;1;2;44;0;72
2011;1;3;75;0;119
2011;1;4;71;0;107
2011;1;5;75;1;110
2011;1;6;68;1;99
2011;1;7;67;0;83
2011;1;8;76;1;106
2011;1;9;109;0;147
2011;2;;46;1;70
2011;2;1;85;0;104
2011;2;2;57;0;83
2011;2;3;114;0;154
2011;2;4;67;1;87
2011;2;5;93;1;132
2011;2;6;83;0;105
2011;2;7;76;0;100
2011;2;8;102;0;136
2011;2;9;110;0;147
2011;3;;95;0;129
2011;3;1;105;0;131
2011;3;2;69;0;90
2011;3;3;112;0;145
2011;3;4;100;2;125
2011;3;5;80;0;115
2011;3;6;83;1;123
2011;3;7;105;2;150
2011;3;8;118;0;153
2011;3;9;128;0;190
2011;4;;180;0;236
2011;4;1;103;0;131
2011;4;2;72;0;93
2011;4;3;115;0;151
2011;4;4;88;0;112
2011;4;5;79;0;111
2011;4;6;100;0;136
2011;4;7;107;1;145
2011;4;8;96;0;119
2011;4;9;102;0;136
2011;5;;347;1;459
2011;5;1;105;0;133
2011;5;2;60;0;78
2011;5;3;110;0;138
2011;5;4;77;0;103
2011;5;5;62;0;92
2011;5;6;59;1;86
2011;5;7;99;0;136
2011;5;8;131;0;167
2011;5;9;127;1;159
2011;6;;356;2;475
2011;6;1;84;0;103
2011;6;2;51;0;60
2011;6;3;96;0;123
2011;6;4;68;0;90
2011;6;5;78;0;112
2011;6;6;76;1;100
2011;6;7;55;0;80
2011;6;8;53;0;71
2011;6;9;75;0;111
2011;7;;32;0;40
2011;7;1;97;0;117
2011;7;2;74;1;93
2011;7;3;129;0;172
2011;7;4;101;0;142
2011;7;5;81;0;115
2011;7;6;78;0;106
2011;7;7;99;0;143
2011;7;8;109;0;155
2011;7;9;133;0;175
2011;8;;27;0;31
2011;8;1;49;0;67
2011;8;2;33;0;39
2011;8;3;62;0;89
2011;8;4;49;0;64
2011;8;5;42;0;60
2011;8;6;44;1;54
2011;8;7;56;2;75
2011;8;8;61;1;87
2011;8;9;79;0;108
2011;9;;52;0;67
2011;9;1;148;0;182
2011;9;2;76;0;112
2011;9;3;134;0;166
2011;9;4;105;3;134
2011;9;5;127;2;169
2011;9;6;104;1;145
2011;9;7;135;0;185
2011;9;8;118;2;157
2011;9;9;146;0;203
2011;10;;45;1;61
2011;10;1;136;0;162
2011;10;2;81;0;106
2011;10;3;161;2;216
2011;10;4;103;0;143
2011;10;5;119;0;162
2011;10;6;105;1;141
2011;10;7;139;2;192
2011;10;8;130;1;156
2011;10;9;171;3;232
2011;11;;43;0;68
2011;11;1;149;0;188
2011;11;2;61;0;88
2011;11;3;123;2;156
2011;11;4;85;0;105
2011;11;5;97;0;156
2011;11;6;86;1;120
2011;11;7;106;1;142
2011;11;8;110;0;154
2011;11;9;106;0;155
2011;12;;31;0;35
2011;12;1;109;0;127
2001;1;;50;1;69
2001;1;1;171;0;209
2001;1;2;91;1;115
2001;1;3;141;1;187
2001;1;4;105;0;154
2001;1;5;118;0;173
2001;1;6;98;0;133
2001;1;7;140;3;186
2001;1;8;141;1;189
2001;1;9;178;1;275
2001;2;;41;0;59
2001;2;1;161;1;210
2001;2;2;90;1;136
2001;2;3;147;1;200
2001;2;4;122;1;165
2001;2;5;95;0;129
2001;2;6;104;1;139
2001;2;7;113;2;150
2001;2;8;159;3;213
2001;2;9;156;1;215
2001;3;;51;0;60
2001;3;1;190;1;245
2001;3;2;82;1;106
2001;3;3;178;1;260
2001;3;4;130;2;187
2001;3;5;151;1;237
2001;3;6;111;0;147
2001;3;7;156;0;214
2001;3;8;189;0;251
2001;3;9;181;1;270
2001;4;;47;1;63
2001;4;1;164;0;219
2001;4;2;110;1;141
2001;4;3;177;0;250
2001;4;4;161;1;233
2001;4;5;128;0;186
2001;4;6;95;1;130
2001;4;7;128;0;188
2001;4;8;158;1;221
2001;4;9;201;3;273
2001;5;;54;0;71
2001;5;1;205;0;267
2001;5;2;87;1;127
2001;5;3;207;1;287
2001;5;4;194;1;275
2001;5;5;152;0;204
2001;5;6;137;0;221
2001;5;7;192;1;271
2001;5;8;229;0;299
2001;5;9;240;0;331
2001;6;;53;1;81
2001;6;1;237;1;293
2001;6;2;137;0;186
2001;6;3;211;0;315
2001;6;4;178;1;247
2001;6;5;202;2;260
2001;6;6;156;0;197
2001;6;7;206;1;278
2001;6;8;222;2;307
2001;6;9;240;1;342
2001;7;;52;1;64
2001;7;1;203;0;258
2001;7;2;107;0;138
2001;7;3;223;2;301
2001;7;4;181;3;236
2001;7;5;164;0;240
2001;7;6;128;1;178
2001;7;7;164;1;218
2001;7;8;208;1;279
2001;7;9;227;0;311
2001;8;;24;0;37
2001;8;1;85;1;129
2012;12;6;65;0;86
2012;12;7;77;0;101
2012;12;8;100;1;120
2012;12;9;104;1;151
2013;1;;42;2;55
2013;1;1;72;0;100
2013;1;2;35;0;47
2013;1;3;95;0;117
2013;1;4;74;1;91
2013;1;5;68;0;91
2013;1;6;73;1;96
2013;1;7;66;0;86
2013;1;8;96;0;130
2013;1;9;86;0;130
2013;2;;48;0;61
2013;2;1;62;0;87
2013;2;2;45;0;62
2013;2;3;79;1;98
2013;2;4;77;0;95
2013;2;5;53;0;70
2013;2;6;75;0;105
2013;2;7;61;0;74
2013;2;8;73;0;93
2013;2;9;103;1;135
2013;3;;41;0;54
2013;3;1;88;0;111
2013;3;2;44;0;65
2013;3;3;99;0;151
2013;3;4;79;1;111
2013;3;5;90;0;127
2013;3;6;58;1;77
2013;3;7;71;0;83
2013;3;8;92;0;112
2013;3;9;93;0;120
2013;4;;37;0;42
2013;4;1;90;0;118
2013;4;2;44;0;56
2013;4;3;87;0;121
2013;4;4;64;1;87
2013;4;5;91;0;121
2013;4;6;76;0;100
2013;4;7;80;1;108
2013;4;8;113;0;150
2013;4;9;95;0;125
2013;5;;33;0;36
2013;5;1;115;1;143
2013;5;2;52;0;63
2013;5;3;111;0;149
2013;5;4;90;0;122
2013;5;5;74;0;101
2013;5;6;90;0;119
2013;5;7;100;0;132
2013;5;8;112;0;156
2013;5;9;109;0;147
2013;6;;45;0;57
2013;6;1;112;0;128
2013;6;2;64;0;85
2013;6;3;104;0;134
2013;6;4;98;0;135
2013;6;5;109;0;144
2013;6;6;94;0;129
2013;6;7;115;1;139
2013;6;8;96;1;138
2013;6;9;130;0;178
2013;7;;43;0;47
2013;7;1;114;0;143
2013;7;2;56;2;73
2013;7;3;92;0;107
2013;7;4;86;0;103
2013;7;5;91;0;120
2013;7;6;75;0;94
2013;7;7;81;0;114
2013;7;8;135;0;176
2013;7;9;107;0;143
2013;8;;34;0;49
2013;8;1;30;1;40
2013;8;2;30;0;38
2013;8;3;50;0;67
2013;8;4;48;0;65
2013;8;5;45;0;52
2013;8;6;38;0;49
2013;8;7;70;0;99
2013;8;8;63;0;87
2013;8;9;75;0;100
2013;9;;50;0;62
2013;9;1;112;0;142
2013;9;2;40;0;50
2013;9;3;109;0;144
2013;9;4;85;1;118
2013;9;5;82;0;110
2013;9;6;98;0;134
2013;9;7;78;0;98
2013;9;8;114;0;148
2013;9;9;102;1;136
2013;10;;51;0;68
2013;10;1;132;0;164
2013;10;2;68;0;87
2013;10;3;118;0;148
2013;10;4;99;0;135
2013;10;5;94;0;134
2013;10;6;92;3;121
2013;10;7;115;0;157
2013;10;8;100;1;149
2013;10;9;125;0;158
2013;11;;53;1;71
2013;11;1;117;0;148
2013;11;2;56;0;74
2013;11;3;104;1;127
2013;11;4;64;0;79
2013;11;5;82;0;99
2013;11;6;83;0;114
2013;11;7;92;0;128
2013;11;8;100;0;122
2013;11;9;107;2;130
2013;12;;54;0;74
2013;12;1;93;1;109
2013;12;2;50;0;70
2013;12;3;98;1;122
2013;12;4;68;0;92
2013;12;5;62;0;77
2013;12;6;70;0;99
2013;12;7;71;0;89
2013;12;8;111;1;147
2013;12;9;105;0;154
2011;12;2;63;0;85
2011;12;3;110;0;148
2011;12;4;88;1;123
2011;12;5;68;0;94
2011;12;6;75;0;120
2011;12;7;102;0;126
2011;12;8;112;0;158
2011;12;9;141;1;194
2012;1;;44;0;70
2012;1;1;133;0;162
2012;1;2;66;1;80
2012;1;3;102;0;126
2012;1;4;78;0;127
2012;1;5;70;0;89
2012;1;6;62;1;78
2012;1;7;105;1;146
2012;1;8;99;0;149
2012;1;9;125;2;168
2012;2;;36;0;47
2012;2;1;70;0;88
2012;2;2;50;0;69
2012;2;3;83;0;114
2012;2;4;82;0;106
2012;2;5;70;0;92
2012;2;6;58;1;74
2012;2;7;80;0;119
2012;2;8;81;0;109
2012;2;9;96;0;132
2012;3;;36;0;41
2012;3;1;127;0;153
2012;3;2;78;1;95
2012;3;3;112;0;138
2012;3;4;97;0;117
2012;3;5;83;0;127
2012;3;6;95;1;125
2012;3;7;97;0;130
2012;3;8;102;0;137
2012;3;9;126;1;175
2012;4;;40;0;63
2012;4;1;75;1;91
2012;4;2;73;1;89
2012;4;3;105;0;160
2012;4;4;82;0;116
2012;4;5;81;1;125
2012;4;6;74;1;92
2012;4;7;76;1;100
2012;4;8;99;0;133
2012;4;9;104;1;148
2012;5;;38;0;53
2012;5;1;130;0;164
2012;5;2;88;1;105
2012;5;3;129;0;171
2012;5;4;89;0;113
2012;5;5;108;0;140
2012;5;6;109;2;139
2012;5;7;104;2;140
2012;5;8;124;0;181
2012;5;9;128;0;178
2012;6;;39;0;50
2012;6;1;107;0;139
2012;6;2;71;0;85
2012;6;3;124;0;159
2012;6;4;101;0;131
2012;6;5;112;3;158
2012;6;6;88;2;114
2012;6;7;89;1;118
2012;6;8;112;1;141
2012;6;9;132;0;187
2012;7;;37;0;48
2012;7;1;107;0;120
2012;7;2;70;0;96
2012;7;3;128;0;163
2012;7;4;86;2;99
2012;7;5;93;0;120
2012;7;6;71;0;90
2012;7;7;105;2;136
2012;7;8;105;1;139
2012;7;9;100;1;130
2012;8;;33;0;60
2012;8;1;41;0;50
2012;8;2;39;0;57
2012;8;3;68;1;90
2012;8;4;47;0;71
2012;8;5;50;0;70
2012;8;6;49;0;65
2012;8;7;44;0;54
2012;8;8;82;1;111
2012;8;9;65;0;91
2012;9;;34;0;53
2012;9;1;95;0;116
2012;9;2;57;0;67
2012;9;3;107;2;138
2012;9;4;94;0;111
2012;9;5;91;0;140
2012;9;6;71;1;93
2012;9;7;84;1;114
2012;9;8;106;0;127
2012;9;9;115;0;152
2012;10;;46;0;65
2012;10;1;133;1;173
2012;10;2;84;2;99
2012;10;3;123;1;177
2012;10;4;93;0;121
2012;10;5;116;2;147
2012;10;6;105;0;142
2012;10;7;117;0;148
2012;10;8;144;0;174
2012;10;9;131;0;173
2012;11;;43;0;57
2012;11;1;120;0;157
2012;11;2;51;0;61
2012;11;3;126;0;178
2012;11;4;106;1;151
2012;11;5;105;0;149
2012;11;6;79;1;101
2012;11;7;99;0;133
2012;11;8;140;2;182
2012;11;9;130;0;180
2012;12;;26;0;32
2012;12;1;126;0;161
2012;12;2;51;0;61
2012;12;3;104;0;142
2012;12;4;57;1;67
2012;12;5;76;1;107
2014;1;;54;0;76
2014;1;1;84;0;108
2014;1;2;44;0;58
2014;1;3;66;0;85
2014;1;4;62;0;88
2014;1;5;53;0;75
2014;1;6;58;0;80
2014;1;7;75;0;97
2014;1;8;63;1;74
2014;1;9;77;1;95
2014;2;;27;0;33
2014;2;1;92;0;110
2014;2;2;37;0;50
2014;2;3;86;0;103
2014;2;4;64;0;81
2014;2;5;74;1;108
2014;2;6;65;1;80
2014;2;7;70;0;97
2014;2;8;75;0;115
2014;2;9;94;0;122
2014;3;;37;0;43
2014;3;1;89;0;108
2014;3;2;48;0;67
2014;3;3;87;0;114
2014;3;4;53;1;70
2014;3;5;82;0;104
2014;3;6;68;0;95
2014;3;7;89;0;115
2014;3;8;102;0;119
2014;3;9;104;1;144
2014;4;;57;0;74
2014;4;1;93;0;113
2014;4;2;54;0;67
2014;4;3;91;0;110
2014;4;4;86;1;117
2014;4;5;78;0;99
2014;4;6;71;0;97
2014;4;7;92;1;112
2014;4;8;113;0;143
2014;4;9;102;2;148
2014;5;;37;0;45
2014;5;1;120;1;143
2014;5;2;53;0;58
2014;5;3;96;1;123
2014;5;4;80;0;108
2014;5;5;88;0;108
2014;5;6;77;0;103
2014;5;7;97;2;121
2014;5;8;133;1;157
2014;5;9;105;1;129
2014;6;;41;1;52
2014;6;1;103;0;126
2014;6;2;69;0;91
2014;6;3;98;0;132
2014;6;4;81;4;96
2014;6;5;78;0;116
2014;6;6;69;1;93
2014;6;7;96;0;121
2014;6;8;94;0;121
2014;6;9;95;0;131
2014;7;;46;0;68
2014;7;1;103;0;125
2014;7;2;50;0;63
2014;7;3;92;1;117
2014;7;4;78;1;111
2014;7;5;68;0;94
2014;7;6;70;1;95
2014;7;7;84;1;122
2014;7;8;102;1;127
2014;7;9;76;1;94
2014;8;;23;1;31
2014;8;1;29;0;40
2014;8;2;23;0;29
2014;8;3;44;0;60
2014;8;4;42;0;59
2014;8;5;41;0;63
2014;8;6;31;0;38
2014;8;7;36;0;47
2014;8;8;54;0;79
2014;8;9;53;0;64
2014;9;;55;1;73
2014;9;1;70;0;97
2014;9;2;39;0;48
2014;9;3;104;0;129
2014;9;4;80;0;99
2014;9;5;79;0;103
2014;9;6;79;0;110
2014;9;7;82;1;99
2014;9;8;96;1;123
2014;9;9;101;0;140
2014;10;;76;0;93
2014;10;1;110;2;142
2014;10;2;59;0;74
2014;10;3;92;0;117
2014;10;4;87;0;124
2014;10;5;74;1;89
2014;10;6;83;0;113
2014;10;7;93;0;127
2014;10;8;105;0;136
2014;10;9;96;0;128
2014;11;;106;0;149
2014;11;1;75;0;89
2014;11;2;51;0;63
2014;11;3;76;0;97
2014;11;4;65;0;79
2014;11;5;71;1;95
2014;11;6;58;0;68
2014;11;7;62;1;88
2014;11;8;84;0;104
2014;11;9;82;0;113
2014;12;;114;0;155
2014;12;1;71;1;102
2014;12;2;40;0;49
2014;12;3;76;0;102
2014;12;4;55;1;65
2014;12;5;53;0;79
2014;12;6;49;0;57
2014;12;7;68;0;76
2014;12;8;69;0;86
2014;12;9;84;0;117
2015;1;;161;1;213
2015;1;1;49;0;57
2015;1;2;26;0;40
2015;1;3;67;0;77
2015;1;4;50;0;71
2015;1;5;39;0;59
2015;1;6;52;0;62
2015;1;7;53;1;67
2015;1;8;77;0;92
2015;1;9;78;0;107
2015;2;;415;2;536
2015;2;1;23;0;29
2015;2;2;26;0;32
2015;2;3;33;0;39
2015;2;4;21;0;33
2015;2;5;21;0;25
2015;2;6;17;2;25
2015;2;7;24;1;30
2015;2;8;21;0;24
2015;2;9;30;1;38
2015;3;;36;0;58
2015;3;1;93;1;120
2015;3;2;55;1;69
2015;3;3;106;1;134
2015;3;4;54;1;75
2015;3;5;62;0;88
2015;3;6;75;0;106
2015;3;7;72;0;104
2015;3;8;83;1;106
2015;3;9;88;0;107
2015;4;;32;0;47
2015;4;1;89;0;106
2015;4;2;50;0;69
2015;4;3;108;1;139
2015;4;4;80;0;120
2015;4;5;72;0;87
2015;4;6;59;0;85
2015;4;7;86;1;104
2015;4;8;82;0;117
2015;4;9;105;0;127
2015;5;;48;1;54
2015;5;1;106;0;144
2015;5;2;43;1;58
2015;5;3;82;0;106
2015;5;4;86;0;114
2015;5;5;74;0;105
2015;5;6;80;0;96
2015;5;7;85;2;121
2015;5;8;117;1;154
2015;5;9;105;0;146
2015;6;;37;0;51
2015;6;1;87;0;111
2015;6;2;50;0;62
2015;6;3;106;2;132
2015;6;4;73;1;93
2015;6;5;67;1;88
2015;6;6;77;0;108
2015;6;7;86;1;110
2015;6;8;114;1;161
2015;6;9;95;1;124
2015;7;;47;0;66
2015;7;1;91;0;113
2015;7;2;64;0;89
2015;7;3;97;0;131
2015;7;4;81;0;103
2015;7;5;92;1;110
2015;7;6;81;0;93
2015;7;7;68;0;89
2015;7;8;84;0;108
2015;7;9;103;1;137
2015;8;;19;1;22
2015;8;1;34;0;39
2015;8;2;29;0;40
2015;8;3;42;0;52
2015;8;4;34;0;44
2015;8;5;53;0;85
2015;8;6;31;0;37
2015;8;7;44;0;65
2015;8;8;48;1;57
2015;8;9;51;1;65
2015;9;;49;0;59
2015;9;1;89;1;115
2015;9;2;37;0;49
2015;9;3;81;0;102
2015;9;4;83;1;111
2015;9;5;70;0;95
2015;9;6;78;0;107
2015;9;7;89;1;113
2015;9;8;94;0;124
2015;9;9;94;0;117
2015;10;;40;0;49
2015;10;1;99;1;134
2015;10;2;60;0;75
2015;10;3;130;1;165
2015;10;4;77;0;102
2015;10;5;81;1;101
2015;10;6;74;0;112
2015;10;7;89;0;114
2015;10;8;121;1;165
2015;10;9;110;2;152
2015;11;;26;0;31
2015;11;1;117;0;142
2015;11;2;54;1;65
2015;11;3;82;0;97
2015;11;4;76;0;103
2015;11;5;62;0;87
2015;11;6;80;1;104
2015;11;7;83;1;108
2015;11;8;104;0;136
2015;11;9;92;0;115
2015;12;;28;1;36
2015;12;1;92;0;106
2015;12;2;28;0;40
2015;12;3;66;1;82
2015;12;4;71;0;92
2015;12;5;61;0;82
2015;12;6;60;1;83
2015;12;7;66;0;84
2015;12;8;71;0;106
2015;12;9;82;2;104
2016;1;;33;0;40
2016;1;1;78;1;85
2016;1;2;37;0;51
2016;1;3;67;0;83
2016;1;4;63;0;87
2016;1;5;64;1;84
2016;1;6;43;0;55
2016;1;7;90;2;118
2016;1;8;77;2;111
2016;1;9;85;1;130
2016;2;;48;0;73
2016;2;1;102;0;140
2016;2;2;52;0;60
2016;2;3;77;0;101
2016;2;4;70;0;95
2016;2;5;65;0;90
2016;2;6;46;0;56
2016;2;7;66;0;95
2016;2;8;75;0;111
2016;2;9;105;1;149
2016;3;;35;0;45
2016;3;1;83;0;113
2016;3;2;53;0;73
2016;3;3;73;0;100
2016;3;4;71;1;94
2016;3;5;64;0;87
2016;3;6;71;1;98
2016;3;7;82;0;112
2016;3;8;93;0;131
2016;3;9;103;0;158
2016;4;;39;0;53
2016;4;1;84;0;104
2016;4;2;45;0;62
2016;4;3;111;2;139
2016;4;4;87;0;119
2016;4;5;69;0;97
2016;4;6;73;0;96
2016;4;7;106;0;134
2016;4;8;114;0;139
2016;4;9;93;0;130
2016;5;;36;0;43
2016;5;1;93;0;128
2016;5;2;60;0;80
2016;5;3;114;0;147
2016;5;4;76;1;101
2016;5;5;97;1;132
2016;5;6;64;0;90
2016;5;7;98;0;127
2016;5;8;106;0;154
2016;5;9;122;0;166
2016;6;;46;0;53
2016;6;1;95;1;112
2016;6;2;48;0;59
2016;6;3;98;0;127
2016;6;4;74;0;102
2016;6;5;70;1;96
2016;6;6;61;0;75
2016;6;7;79;0;100
2016;6;8;92;0;121
2016;6;9;104;3;142
2016;7;;32;2;38
2016;7;1;84;0;103
2016;7;2;49;0;58
2016;7;3;98;1;132
2016;7;4;94;1;128
2016;7;5;82;0;100
2016;7;6;75;0;105
2016;7;7;69;0;90
2016;7;8;93;0;138
2016;7;9;94;0;122
2016;8;;18;0;26
2016;8;1;36;0;41
2016;8;2;33;0;49
2016;8;3;52;0;69
2016;8;4;56;0;80
2016;8;5;48;0;61
2016;8;6;30;0;42
2016;8;7;59;1;70
2016;8;8;38;0;53
2016;8;9;59;0;94
2016;9;;45;1;54
2016;9;1;93;0;120
2016;9;2;48;1;53
2016;9;3;85;0;110
2016;9;4;78;2;103
2016;9;5;83;0;120
2016;9;6;67;0;95
2016;9;7;87;1;130
2016;9;8;84;0;109
2016;9;9;104;0;133
2016;10;;51;0;80
2016;10;1;97;0;118
2016;10;2;49;0;67
2016;10;3;94;0;116
2016;10;4;95;1;110
2016;10;5;84;0;107
2016;10;6;79;0;108
2016;10;7;104;1;140
2016;10;8;120;1;144
2016;10;9;100;0;121
2016;11;;59;0;81
2016;11;1;92;0;118
2016;11;2;49;0;67
2016;11;3;89;0;119
2016;11;4;80;3;96
2016;11;5;93;0;121
2016;11;6;65;0;83
2016;11;7;77;1;104
2016;11;8;101;1;140
2016;11;9;114;3;151
2016;12;;38;0;51
2016;12;1;72;0;87
2016;12;2;43;0;62
2016;12;3;71;0;86
2016;12;4;44;0;61
2016;12;5;58;1;80
2016;12;6;47;2;57
2016;12;7;61;1;77
2016;12;8;67;1;81
2016;12;9;79;0;109
2017;1;;38;1;44
2017;1;1;55;0;66
2017;1;2;38;0;51
2017;1;3;57;0;70
2017;1;4;57;1;75
2017;1;5;63;0;85
2017;1;6;67;0;91
2017;1;7;49;1;61
2017;1;8;70;0;94
2017;1;9;68;0;88
2017;2;;31;1;38
2017;2;1;79;0;104
2017;2;2;39;0;58
2017;2;3;68;0;98
2017;2;4;56;0;78
2017;2;5;55;0;73
2017;2;6;52;1;64
2017;2;7;68;2;83
2017;2;8;88;0;108
2017;2;9;61;0;84
2017;3;;42;1;58
2017;3;1;85;0;100
2017;3;2;44;0;55
2017;3;3;89;0;113
2017;3;4;76;0;109
2017;3;5;87;1;112
2017;3;6;80;0;94
2017;3;7;74;0;96
2017;3;8;111;0;153
2017;3;9;100;1;126
2017;4;;44;0;54
2017;4;1;83;0;108
2017;4;2;37;1;54
2017;4;3;91;0;118
2017;4;4;60;1;78
2017;4;5;70;0;98
2017;4;6;60;1;86
2017;4;7;73;0;94
2017;4;8;104;0;143
2017;4;9;95;1;121
2017;5;;31;1;40
2017;5;1;105;0;125
2017;5;2;59;1;75
2017;5;3;106;0;132
2017;5;4;73;0;103
2017;5;5;82;1;106
2017;5;6;61;0;74
2017;5;7;78;0;110
2017;5;8;107;0;126
2017;5;9;92;1;135
2017;6;;22;0;26
2017;6;1;89;0;107
2017;6;2;63;0;76
2017;6;3;118;0;161
2017;6;4;58;0;81
2017;6;5;68;1;91
2017;6;6;94;0;118
2017;6;7;78;0;101
2017;6;8;90;0;110
2017;6;9;79;0;100
2017;7;;49;1;67
2017;7;1;80;0;109
2017;7;2;40;0;48
2017;7;3;97;1;114
2017;7;4;68;1;90
2017;7;5;63;1;85
2017;7;6;60;0;77
2017;7;7;73;0;93
2017;7;8;92;3;115
2017;7;9;69;0;100
2017;8;;27;1;33
2017;8;1;39;0;44
2017;8;2;32;0;39
2017;8;3;67;0;92
2017;8;4;39;0;53
2017;8;5;37;1;60
2017;8;6;41;0;64
2017;8;7;46;0;52
2017;8;8;50;0;63
2017;8;9;50;0;65
2017;9;;37;0;45
2017;9;1;92;0;116
2017;9;2;52;0;67
2017;9;3;101;0;122
2017;9;4;44;0;65
2017;9;5;78;1;101
2017;9;6;62;0;79
2017;9;7;82;2;124
2017;9;8;94;0;114
2017;9;9;104;2;145
2017;10;;33;0;46
2017;10;1;88;0;104
2017;10;2;40;0;58
2017;10;3;108;0;142
2017;10;4;72;0;106
2017;10;5;62;0;74
2017;10;6;81;1;105
2017;10;7;89;0;126
2017;10;8;108;0;133
2017;10;9;109;1;135
2017;11;;39;1;47
2017;11;1;96;0;117
2017;11;2;59;0;74
2017;11;3;85;0;103
2017;11;4;64;0;88
2017;11;5;79;0;101
2017;11;6;67;0;99
2017;11;7;77;1;95
2017;11;8;95;1;116
2017;11;9;112;0;148
2017;12;;35;0;44
2017;12;1;85;1;98
2017;12;2;48;1;61
2017;12;3;76;1;93
2017;12;4;52;0;69
2017;12;5;70;1;86
2017;12;6;56;2;66
2017;12;7;66;2;84
2017;12;8;77;0;104
2017;12;9;87;1;105
2018;1;;36;0;53
2018;1;1;71;0;87
2018;1;2;37;1;52
2018;1;3;87;1;111
2018;1;4;63;0;80
2018;1;5;60;0;76
2018;1;6;67;0;87
2018;1;7;66;1;97
2018;1;8;73;2;92
2018;1;9;75;3;102
2018;2;;52;1;67
2018;2;1;70;1;85
2018;2;2;40;1;53
2018;2;3;71;0;95
2018;2;4;58;0;78
2018;2;5;65;0;84
2018;2;6;55;0;69
2018;2;7;62;0;78
2018;2;8;76;0;108
2018;2;9;78;0;102
2018;3;;32;0;38
2018;3;1;70;1;91
2018;3;2;40;0;50
2018;3;3;75;0;90
2018;3;4;75;0;97
2018;3;5;70;0;98
2018;3;6;54;1;68
2018;3;7;56;0;68
2018;3;8;92;0;126
2018;3;9;89;0;116
2018;4;;32;0;47
2018;4;1;83;1;97
2018;4;2;43;0;56
2018;4;3;68;0;91
2018;4;4;63;0;86
2018;4;5;47;0;61
2018;4;6;74;1;100
2018;4;7;75;0;106
2018;4;8;95;0;134
2018;4;9;95;0;130
2018;5;;39;0;52
2018;5;1;78;0;84
2018;5;2;41;0;59
2018;5;3;108;0;126
2018;5;4;80;0;111
2018;5;5;94;2;122
2018;5;6;68;2;92
2018;5;7;84;0;113
2018;5;8;81;0;114
2018;5;9;128;0;163
2018;6;;23;0;26
2018;6;1;80;0;100
2018;6;2;65;0;85
2018;6;3;99;1;116
2018;6;4;76;1;92
2018;6;5;85;0;107
2018;6;6;89;0;113
2018;6;7;77;0;100
2018;6;8;105;0;135
2018;6;9;95;0;115
2018;7;;30;0;44
2018;7;1;66;0;89
2018;7;2;54;1;69
2018;7;3;93;0;124
2018;7;4;57;0;74
2018;7;5;68;0;98
2018;7;6;87;0;118
2018;7;7;59;1;85
2018;7;8;68;0;95
2018;7;9;85;0;133
2018;8;;23;0;37
2018;8;1;32;0;39
2018;8;2;30;0;44
2018;8;3;43;0;47
2018;8;4;34;0;40
2018;8;5;32;1;36
2018;8;6;23;0;27
2018;8;7;42;0;56
2018;8;8;54;0;71
2018;8;9;56;1;78
2018;9;;39;1;57
2018;9;1;90;0;110
2018;9;2;52;0;70
2018;9;3;92;1;117
2018;9;4;82;0;104
2018;9;5;77;1;97
2018;9;6;74;0;108
2018;9;7;80;3;104
2018;9;8;85;1;107
2018;9;9;87;0;117
2018;10;;36;1;48
2018;10;1;103;0;125
2018;10;2;52;1;67
2018;10;3;111;0;139
2018;10;4;77;2;97
2018;10;5;75;0;92
2018;10;6;72;0;83
2018;10;7;79;0;111
2018;10;8;113;1;137
2018;10;9;119;2;160
2018;11;;30;0;44
2018;11;1;88;0;101
2018;11;2;51;0;58
2018;11;3;82;1;96
2018;11;4;78;0;94
2018;11;5;80;0;98
2018;11;6;77;0;110
2018;11;7;73;1;92
2018;11;8;104;1;128
2018;11;9;119;0;147
2018;12;;23;0;28
2018;12;1;83;0;107
2018;12;2;40;0;57
2018;12;3;81;0;114
2018;12;4;62;0;78
2018;12;5;68;0;87
2018;12;6;62;3;75
2018;12;7;59;1;75
2018;12;8;100;0;128
2018;12;9;78;0;107
